feature,importance
contract_score,0.3183832
Contract_encoded,0.24741238
OnlineSecurity_encoded,0.04326734
InternetService_encoded,0.03770923
TechSupport_encoded,0.024518007
StreamingMovies_encoded,0.020951943
loyalty_score,0.018533828
PhoneService_encoded,0.016462607
charge_difference,0.0149732735
MonthlyCharges,0.014406449
PaperlessBilling_encoded,0.014276062
tenure,0.0141727
tenure_group_encoded,0.013925088
has_online_services,0.013894809
avg_charges_per_tenure,0.013871831
TotalCharges,0.012803982
OnlineBackup_encoded,0.012794426
customer_value_score,0.012745839
tenure_monthly_interaction,0.011850587
MultipleLines_encoded,0.0117234625
total_services,0.011480218
payment_risk_score,0.011396517
charges_per_tenure,0.010786755
gender_encoded,0.010675587
SeniorCitizen,0.01064771
PaymentMethod_encoded,0.010595159
Dependents_encoded,0.009867453
DeviceProtection_encoded,0.009794494
Partner_encoded,0.009184706
has_streaming,0.00907634
StreamingTV_encoded,0.00781808
